"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Nathan Aspinall","NO",76,2006-03-30,2006,"6.07",207,"LW","Flint Firebirds",2,1,1,2,1,4,0,0,0,0,0,0,0,0,4,1
"Ethan Czata","NO",12,2007-05-29,2007,"6.02",186,"C","Niagara IceDogs",2,1,1,2,1,0,0,1,1,0,0,0,0,0,4,1
"Alessandro Di Iorio","NO",17,2008-03-17,2008,"6.01",188,"C","Sarnia Sting",2,1,1,2,1,-1,0,1,1,0,0,0,0,0,0,1
"Owen Griffin","NO",96,2007-04-08,2007,"5.10",175,"C","Oshawa Generals",2,1,1,2,1,-2,1,0,1,0,0,0,0,0,2,1
"Tate Vader","NO",9,2006-01-09,2006,"5.11",187,"LW","Soo Greyhounds",2,1,1,2,1,3,0,0,0,0,0,0,0,0,2,1
"Kieron Walton","NO",22,2006-04-22,2006,"6.06",227,"LW","Sudbury Wolves",2,1,1,2,1,-1,0,0,0,0,0,0,0,0,0,1
"Blake Barnes","NO",72,2006-07-31,2006,"6.01",185,"D","Niagara IceDogs",3,1,1,2,0.67,4,0,0,0,0,1,1,0,0,4,1
"Jacob Cloutier","NO",42,2007-03-22,2007,"5.11",180,"RW","Saginaw Spirit",3,1,1,2,0.67,-2,0,0,0,0,1,1,0,0,2,1
"Gerry DiCunzolo","NO",25,2009-06-16,2009,"5.10",163,"LW","Peterborough Petes",3,1,1,2,0.67,-2,0,0,0,0,0,0,0,0,2,1
"Kaeden Hawkins","NO",72,2005-07-25,2005,"6.01",195,"C","London Knights",3,1,1,2,0.67,0,0,1,1,0,0,0,0,0,2,1
"Nolan Jackson","NO",27,2007-01-02,2007,"6.02",189,"D","Ottawa 67's",3,1,1,2,0.67,4,0,0,0,0,0,0,0,0,0,1
"Luca Romano","NO",86,2007-06-25,2007,"5.11",170,"C","Kitchener Rangers",3,1,1,2,0.67,2,0,0,0,0,0,0,0,0,6,1
"Ryan Roobroeck","NO",25,2007-09-25,2007,"6.03",218,"LW","Niagara IceDogs",3,1,1,2,0.67,-2,0,0,0,0,0,0,1,0,4,1
"Miroslav Satan","NO",43,2006-03-02,2006,"6.07",200,"C","Saginaw Spirit",3,1,1,2,0.67,1,1,1,2,0,0,0,0,0,2,1
"Rowan Topp","NO",12,2006-04-02,2006,"6.02",201,"D","Guelph Storm",3,1,1,2,0.67,2,0,0,0,0,0,0,1,0,4,1
"Ryan White","NO",21,2007-06-28,2007,"5.09",172,"D","Ottawa 67's",3,1,1,2,0.67,0,0,0,0,0,0,0,0,0,2,1
"Daniel Berehowsky","NO",44,2006-09-29,2006,"5.11",182,"RW","Sudbury Wolves",4,1,1,2,0.5,-2,1,0,1,0,0,0,0,0,0,1
"Luca Blonda","NO",93,2008-11-25,2008,"5.10",188,"D","Sudbury Wolves",4,1,1,2,0.5,1,1,1,2,0,0,0,0,0,0,1
